,Model,RMSE,NRMSE,MAPE,Weeks ahead,Location
0,CMU-TimeSeries,19.26666478794032,0.3853332957588064,55.9765629990583,1,AK
1,CMU-TimeSeries,121.16820638973348,1.2239212766639747,46.35939884924612,1,AL
2,CMU-TimeSeries,114.47634904233958,0.31536184309184456,58.2785700110942,1,AR
3,CMU-TimeSeries,119.1177503383896,0.206086073249809,141.71792242913395,1,AZ
4,CMU-TimeSeries,558.270043367549,0.21638373773936012,114.39344157672508,1,CA
5,CMU-TimeSeries,29.07876155075287,0.23263009240602295,70.73863279840704,1,CO
6,CMU-TimeSeries,42.011648348261375,0.25933116264358863,76.07965988093886,1,CT
7,CMU-TimeSeries,19.245318908453537,0.3261918459059922,79.1523463932168,1,DC
8,CMU-TimeSeries,16.345202304757965,0.3335755572399584,178.65743633781935,1,DE
9,CMU-TimeSeries,187.85103792339896,0.3459503460836077,42.89585201444181,1,FL
10,CMU-TimeSeries,37.484141002775566,0.5065424459834537,33.73361621055021,1,GA
11,CMU-TimeSeries,44.24145914675026,0.35968665972967695,52.300251820130384,1,IA
12,CMU-TimeSeries,45.56363735679147,0.29586777504410045,491.6323682075694,1,ID
13,CMU-TimeSeries,222.59775301780607,0.27824719127225755,76.28923021534935,1,IL
14,CMU-TimeSeries,124.4417550007017,0.3087884739471506,49.98582531457271,1,IN
15,CMU-TimeSeries,49.24163138311182,0.29663633363320385,71.55018368368576,1,KS
16,CMU-TimeSeries,133.5588313664707,0.24871290757257117,87.80754598400425,1,KY
17,CMU-TimeSeries,78.95315622917451,1.0815500853311577,29.962122601036633,1,LA
18,CMU-TimeSeries,62.89543736121083,0.3038426925662359,110.01873045637744,1,MA
19,CMU-TimeSeries,70.30819787846238,0.31528339855812726,43.04194615720489,1,MD
20,CMU-TimeSeries,11.377134052965264,0.367004324289202,96.29651574771313,1,ME
21,CMU-TimeSeries,57.05912468584545,0.21370458683837246,84.49374922659119,1,MI
22,CMU-TimeSeries,70.96455363086736,0.20933496646273558,103.69727407463849,1,MN
23,CMU-TimeSeries,160.85304204267837,0.32693707732251703,71.871935883668,1,MO
24,CMU-TimeSeries,57.97469309238551,0.49978183700332335,30.95034731218264,1,MS
25,CMU-TimeSeries,14.512937678642565,0.322509726192057,88.60440290409267,1,MT
26,CMU-TimeSeries,73.08237090377195,0.45676481814857484,44.55363684723552,1,NC
27,CMU-TimeSeries,7.160134826756556,0.2753898010290983,110.24446463255097,1,ND
28,CMU-TimeSeries,12.082263579251382,0.2684947462055862,55.74815133839878,1,NE
29,CMU-TimeSeries,2.220792868680023,0.18506607239000192,92401708.08612798,1,NH
30,CMU-TimeSeries,131.06484409618474,0.25953434474492026,86.16281515828352,1,NJ
31,CMU-TimeSeries,28.17887562636419,0.21029011661465805,58.41713931162684,1,NM
32,CMU-TimeSeries,33.03679660542381,0.13765331918926588,193.84219492876198,1,NV
33,CMU-TimeSeries,167.3497521129351,0.22283588829951412,82.53170860636422,1,NY
34,CMU-TimeSeries,135.8235101734128,0.2557881547521898,62.01549044759071,1,OH
35,CMU-TimeSeries,116.25849748676792,0.3091981316137445,68.70140607308714,1,OK
36,CMU-TimeSeries,107.29483835918592,0.27371132234486206,293.1883393089192,1,OR
37,CMU-TimeSeries,152.99985446552404,0.24170593122515646,56.879004485084664,1,PA
38,CMU-TimeSeries,7.7483273116786435,0.4842704569799152,107357634.36390936,1,RI
39,CMU-TimeSeries,68.74213350328205,0.723601405297706,46.388638238193714,1,SC
40,CMU-TimeSeries,14.706039581253883,0.2723340663195163,73.41446090219536,1,SD
41,CMU-TimeSeries,52.07658077672604,0.2784843891803532,52.822824934035296,1,TN
42,CMU-TimeSeries,169.4187084136207,0.44004859328213164,33.26410220076204,1,TX
43,CMU-TimeSeries,4048.0146434586786,0.2627386670642356,52.22236228018915,1,US
44,CMU-TimeSeries,11.443834428258919,0.4768264345107883,80.1848960603754,1,UT
45,CMU-TimeSeries,124.39539525245036,0.4995799006122504,41.882286290875726,1,VA
46,CMU-TimeSeries,5.6437949056659376,0.37625299371106247,15376760.639531713,1,VT
47,CMU-TimeSeries,125.9627538572662,0.23456751183848457,136.32706953017347,1,WA
48,CMU-TimeSeries,73.90677157175956,0.3066671019575085,95.6832691421161,1,WI
49,CMU-TimeSeries,42.599146709867085,0.29789613083823135,47.34586781130322,1,WV
50,CMU-TimeSeries,16.166815540544764,0.3849241795367801,121.8210322436745,1,WY
51,CMU-TimeSeries,22.386082426448034,0.4477216485289607,60.194653100155726,2,AK
52,CMU-TimeSeries,311.64219735726033,2.325688039979555,83.04396974442211,2,AL
53,CMU-TimeSeries,67.07901704765196,0.21921247401193453,58.14623407466293,2,AR
54,CMU-TimeSeries,181.99389167270297,0.3446854008952708,74.76443271733655,2,AZ
55,CMU-TimeSeries,784.9988342156116,0.3361879375655724,70.43383851126404,2,CA
56,CMU-TimeSeries,38.318267699585064,0.30654614159668053,63.63681440477662,2,CO
57,CMU-TimeSeries,49.73190564451142,0.31475889648424954,70.3859793745409,2,CT
58,CMU-TimeSeries,26.6003856056586,0.7600110173045315,72.31214698499869,2,DC
59,CMU-TimeSeries,15.437564570650233,0.3675610612059579,80.94832403063644,2,DE
60,CMU-TimeSeries,108.24511128268585,0.5412255564134293,36.06394224085619,2,FL
61,CMU-TimeSeries,142.37764493917294,5.932401872465539,62.16208156989559,2,GA
62,CMU-TimeSeries,47.4847505100829,0.3860548821957959,58.26219974059846,2,IA
63,CMU-TimeSeries,67.76440918496499,0.48059864670187924,81.59466750048787,2,ID
