,Model,Weeks ahead,Location,LS,CRPS,CS
63,CMU-TimeSeries,2,ID,-7.830208526262135,41.08300779149813,0.43650000000000005
64,CMU-TimeSeries,2,IL,-5.332724108368358,148.51935017439712,0.35400000000000004
65,CMU-TimeSeries,2,IN,-2.761226376004916,69.78285195705617,0.16710000000000008
66,CMU-TimeSeries,2,KS,-4.982113659631613,31.212303895910665,0.24770000000000011
67,CMU-TimeSeries,2,KY,-5.615318574046887,89.09381891235302,0.26250000000000007
68,CMU-TimeSeries,2,LA,-6.4389301374716075,80.39143408444721,0.40626666597127925
69,CMU-TimeSeries,2,MA,-2.6327465134103356,30.55195619838913,0.1518000000000001
70,CMU-TimeSeries,2,MD,-5.604900594389438,53.835074697018484,0.13750000000000012
71,CMU-TimeSeries,2,ME,-3.1397476658245447,5.818159763047841,0.44150000000000006
72,CMU-TimeSeries,2,MI,-2.709124125169243,43.100749128180325,0.23750000000000007
73,CMU-TimeSeries,2,MN,-8.314008501214497,73.90215364639027,0.3115000000000001
74,CMU-TimeSeries,2,MO,-4.891712455662885,110.99396784900726,0.4140000000000001
75,CMU-TimeSeries,2,MS,-6.702082816931841,79.67267640706301,0.16960000000000008
76,CMU-TimeSeries,2,MT,-3.8598474628127772,8.094115391781454,0.24600000000000008
77,CMU-TimeSeries,2,NC,-6.1637694563477625,115.73063672485999,0.22400000000000014
78,CMU-TimeSeries,2,ND,-5.653837262323339,4.90521584501437,0.37650000000000006
79,CMU-TimeSeries,2,NE,-2.6438054206799095,5.5983559197407375,0.17740000000000003
80,CMU-TimeSeries,2,NH,-4.011139507403804,2.1629581576037267,0.10740000000000002
81,CMU-TimeSeries,2,NJ,-6.72708067447139,92.81442176852408,0.16550000000000012
82,CMU-TimeSeries,2,NM,-5.121226026637041,41.17349463554458,0.2120000000000001
83,CMU-TimeSeries,2,NV,-4.2816341885745945,39.55019256164434,0.3990000000000001
84,CMU-TimeSeries,2,NY,-4.161326423578545,129.25694948782126,0.3490000000000001
85,CMU-TimeSeries,2,OH,-5.134363655530891,81.35181294588084,0.12460000000000011
86,CMU-TimeSeries,2,OK,-6.680904797638489,91.17703916939521,0.16070000000000007
87,CMU-TimeSeries,2,OR,-7.270704902197737,90.16069352609084,0.4715000000000001
88,CMU-TimeSeries,2,PA,-2.5114991879827078,66.27928710386935,0.11200000000000003
89,CMU-TimeSeries,2,RI,-3.19863210571976,2.632550540652232,0.1342000000000001
90,CMU-TimeSeries,2,SC,-9.32267902284856,154.12301322490828,0.3573333292603494
